9bcf707,raylazor,3 weeks ago,Trying to push my test into the CLOUD.
b49af83,T Co,3 weeks ago,Update VendingListener.java
1a73d84,T Co,3 weeks ago,Access control changes
bdfe49c,T Co,4 weeks ago,Documentation.
5e1d91d,T Co,4 weeks ago,Further adjustments and documentation
d632d8c,T Co,4 weeks ago,Updated singleton pattern for both logic classes
485860d,T Co,4 weeks ago,Proposed pattern for Vending logic
63b46eb,T Co,4 weeks ago,Converted VendingManager to singleton design.
2b2258d,T Co,4 weeks ago,Initial implementation of the Vending logic classes.
b4295d9,T Co,4 weeks ago,Update README.md
41214a7,traymondbiz,4 weeks ago,Merge pull request #1 from Mondaynity/traymond
3cf5815,traymondbiz,4 weeks ago,Update README.md
c78ae2f,T Co,4 weeks ago,UML with overview of listener characteristics
36514bf,T Co,4 weeks ago,Fixed indentation and added new comments
d43299a,T Co,4 weeks ago,Added answers to questions
be9cfdf,T Co,4 weeks ago,Add assignment requirements
bbcd441,T Co,4 weeks ago,Renamed and organized project
62b9998,T Co,4 weeks ago,Added JUnit 4 to classpath
6defcd5,T Co,4 weeks ago,Test commit
9b80da8,T Co,4 weeks ago,Test commit
76d4b43,T Co,4 weeks ago,Initial project commit
4627788,T Co,4 weeks ago,Initial commit
